Index,Serial Number,IMEI,Verizon ICCID,Onomondo ICCID,Timestamp
71,04X3,359746161664979,89148000009808569463,89457300000035347593,2025-07-29 00:50:40
72,04X1,359746161666248,89148000009808568986,89457300000035348070,2025-07-29 00:52:37
73,04X2,359746161666677,89148000009808569000,89457300000035348112,2025-07-29 00:54:48
74,04X5,359746161664763,89148000009808569984,89457300000035350217,2025-07-29 00:57:07
75,04X6,359746161665323,89148000009808569091,89457300000035348005,2025-07-29 00:59:17
76,04X7,359746161665547,89148000009808569067,89457300000035348039,2025-07-29 01:01:19
77,04X8,359746161665596,89148000009808569075,89457300000035347965,2025-07-29 01:03:38
78,04WU,359746161665133,89148000009808569810,89457300000035350225,2025-07-29 01:05:44
79,04WV,359746161665901,89148000009808568911,89457300000035348088,2025-07-29 01:41:25
80,04WW,359746161665083,89148000009808569604,89457300000035347577,2025-07-29 01:53:07
81,04WP,359746161665166,89148000009808569281,89457300000035347742,2025-07-29 01:55:55
82,04WQ,359746161664284,89148000009808570016,89457300000035349987,2025-07-30 23:21:46
83,04WR,359746161665794,89148000009808568861,89457300000035348203,2025-07-29 02:00:36
84,04WS,359746161665075,89148000009808569885,89457300000035350316,2025-07-29 02:02:55
85,04WO,359746161664243,89148000009808570032,89457300000035350027,2025-07-29 02:17:06
86,04XA,359746161665513,89148000009808568838,89457300000035348252,2025-07-29 03:08:25
87,04WN,359746161665141,89148000009808569992,89457300000035350159,2025-07-29 03:10:39
88,04XC,359746161665307,89148000009808569059,89457300000035347940,2025-07-29 03:12:47
89,04XB,359746161665018,89148000009808569729,89457300000035350340,2025-07-29 03:14:45
90,04X9,359746161665067,89148000009808569612,89457300000035350498,2025-07-29 03:16:35
91,04XG,359746161665208,89148000009808569489,89457300000035347668,2025-07-29 03:18:44
92,04XF,359746161666107,89148000009808568994,89457300000035348138,2025-07-29 03:20:45
93,04XD,359746161665745,89148000009808568689,89457300000035348419,2025-07-29 03:22:42
94,04XE,359746161664912,89148000009808569638,89457300000035350472,2025-07-29 03:24:57
95,04XK,359746161665109,89148000009808569406,89457300000035347684,2025-07-30 23:44:14
96,04XJ,359746161665604,89148000009808569208,89457300000035347890,2025-07-29 03:29:10
97,04XH,359746161664565,89148000009808569836,89457300000035350258,2025-07-29 03:31:19
98,04XO,359746161664961,89148000009808569331,89457300000035347809,2025-07-29 03:33:13
99,04XN,359746161665638,89148000009808568929,89457300000035348161,2025-07-29 03:35:03
100,04YT,359746161665885,89148000009808568705,89457300000035348351,2025-07-29 03:37:48
101,04YU,359746161665216,89148000009808568978,89457300000035348104,2025-07-29 03:40:09
102,04YR,359746161665646,89148000009808568820,89457300000035348286,2025-07-29 03:41:59
103,04YS,359746161665778,89148000009808569026,89457300000035348153,2025-07-29 03:44:03
104,04YP,359746161665224,89148000009808569737,89457300000035350449,2025-07-29 03:46:00
105,04YQ,359746161665380,89148000009808569273,89457300000035347833,2025-07-29 03:47:59
106,04Y9,359746161664797,89148000009808569794,89457300000035350274,2025-07-29 03:49:54
107,04YG,359746161664300,89148000009808570024,89457300000035350035,2025-07-29 03:51:50
108,04YF,359746161665802,89148000009808568754,89457300000035348401,2025-07-29 03:54:19
109,04YE,359746161664896,89148000009808569620,89457300000035350480,2025-07-29 03:56:11
110,04YD,359746161664292,89148000009808570040,89457300000035350019,2025-07-29 04:00:14
111,04YK,359746161664540,89148000009808569695,89457300000035350365,2025-07-29 04:02:25
112,04YJ,359746161665331,89148000009808569042,89457300000035347981,2025-07-29 04:16:03
113,04YI,359746161666180,89148000009808568960,89457300000035348096,2025-07-29 04:19:06
114,04XY,359746161664839,89148000009808569703,89457300000035350357,2025-07-30 23:42:12
115,04XM,359746161665505,89148000009808568796,89457300000035348278,2025-07-29 04:23:46
116,04XX,359746161665679,89148000009808568697,89457300000035348377,2025-07-29 04:26:01
117,04YH,359746161665539,89148000009808568903,89457300000035348195,2025-07-29 04:27:52
118,04XL,359746161664920,89148000009808569547,89457300000035350464,2025-07-29 04:30:22
119,04XI,359746161664854,89148000009808569828,89457300000035350233,2025-07-29 04:32:19
120,04Y4,359746161665265,89148000009808569497,89457300000035347650,2025-07-29 04:34:08
121,04XP,359746161665497,89148000009808569117,89457300000035348047,2025-07-29 04:36:08
122,04XQ,359746161665356,89148000009808569125,89457300000035348054,2025-07-29 04:38:03
123,04Y3,359746161665786,89148000009808568895,89457300000035348187,2025-07-29 04:40:03
124,04Y2,359746161665570,89148000009808568937,89457300000035348120,2025-07-29 04:42:03
125,04Y1,359746161664581,89148000009808569851,89457300000035350266,2025-07-29 04:44:16
126,04XS,359746161664946,89148000009808569679,89457300000035350456,2025-07-29 04:50:33
127,04XR,359746161665034,89148000009808569646,89457300000035347536,2025-07-29 04:53:21
128,04XT,359746161665281,89148000009808569505,89457300000035347643,2025-07-29 04:58:48
129,04XU,359746161665893,89148000009808568788,89457300000035348310,2025-07-29 05:01:13
130,04Y7,359746161664698,89148000009808569802,89457300000035350282,2025-07-29 05:04:16
131,04Y5,359746161665448,89148000009808569141,89457300000035347973,2025-07-29 05:06:14
132,04Y6,359746161665711,89148000009808569034,89457300000035348179,2025-07-29 05:08:20
133,04YO,359746161665521,89148000009808568671,89457300000035348393,2025-07-29 05:10:19
134,04XW,359746161665026,89148000009808569448,89457300000035347619,2025-07-29 05:13:23
135,04XV,359746161664722,89148000009808569653,89457300000035350407,2025-07-29 05:15:20
136,04YC,359746161665695,89148000009808568812,89457300000035348245,2025-07-29 05:17:24
137,04YB,359746161665190,89148000009808569323,89457300000035347817,2025-07-29 05:27:53
138,04YN,359746161665729,89148000009808568804,89457300000035348294,2025-07-29 05:30:23
139,04XZ,359746161665760,89148000009808568747,89457300000035348369,2025-07-29 05:32:29
140,04YA,359746161664847,89148000009808569869,89457300000035350290,2025-07-29 05:34:55
141,04YM,359746161665455,89148000009808569158,89457300000035347999,2025-07-30 23:31:14
142,04YL,359746161664706,89148000009808570008,89457300000035350183,2025-07-29 05:42:30
143,04WY,359746161664417,89148000009808570065,89457300000035350043,2025-07-30 21:26:08
144,04WX,359746161665042,89148000009808569596,89457300000035347502,2025-07-30 21:29:53
145,04WZ,359746161665828,89148000009808568952,89457300000035348146,2025-07-30 21:35:50
146,050P,359746161666081,89148000009808568580,89457300000035348476,2025-07-30 21:55:48
147,050R,359746161665364,89148000009808569265,89457300000035347858,2025-07-30 22:04:46
148,050Q,359746161665000,89148000009808569539,89457300000035347510,2025-07-30 22:07:02
149,050S,359746161665661,89148000009808568770,89457300000035348385,2025-07-30 22:10:03
150,04YV,359746161664557,89148000009808569711,89457300000035350423,2025-07-30 23:03:00
